epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,125.223,1.06384,2.49263,2.60919,1.28426,0,0.61399,0.4871,0.48967,0.287,0.61107,0.48438,0.48283,0.29786,1.09973,1.5688,2.3936,1.39155,0,0.000276627,0.000276627,0.000276627
2,280.4,1.0654,2.15066,1.69845,1.26216,0,0.55804,0.54959,0.60505,0.3586,0.55846,0.55038,0.60156,0.37203,1.23569,1.48241,1.99414,1.47361,0,0.000540575,0.000540575,0.000540575
3,447.488,1.06505,2.14558,1.4629,1.26591,0,0.73013,0.53525,0.65446,0.40851,0.73107,0.53699,0.6559,0.42109,1.08425,1.37269,1.52628,1.35849,0,0.000790778,0.000790778,0.000790778
4,556.269,1.06001,2.08298,1.3015,1.25146,0,0.80582,0.71757,0.75983,0.3876,0.80447,0.71449,0.7582,0.40363,1.14685,1.44976,1.26651,1.3667,0,0.00077115,0.00077115,0.00077115
5,710.332,1.01604,1.99727,1.16333,1.22511,0,0.80795,0.72199,0.75851,0.46802,0.81659,0.72979,0.77348,0.49606,1.01112,1.19938,1.06083,1.27483,0,0.000750533,0.000750533,0.000750533
6,888.785,0.97919,1.94455,1.07173,1.20389,0,0.76866,0.79694,0.80155,0.50242,0.71208,0.76391,0.74307,0.49617,0.94988,1.28712,0.99487,1.22459,0,0.000729916,0.000729916,0.000729916
7,1098.21,0.95339,1.87196,1.0223,1.18847,0,0.78564,0.79155,0.79438,0.45129,0.78776,0.79661,0.79374,0.48375,0.97529,1.01923,0.90125,1.21979,0,0.000709299,0.000709299,0.000709299
8,1247.03,0.92598,1.87242,0.9692,1.17423,0,0.71866,0.7874,0.80377,0.45298,0.71112,0.78743,0.80083,0.51008,1.02764,1.14807,0.92734,1.27324,0,0.000688683,0.000688683,0.000688683
9,1327.83,0.90921,1.78559,0.92977,1.16092,0,0.76553,0.76612,0.7965,0.47196,0.78437,0.78499,0.8227,0.53479,0.96794,1.03758,0.84043,1.23726,0,0.000668066,0.000668066,0.000668066
10,1452.54,0.89185,1.79425,0.90111,1.15292,0,0.78164,0.80257,0.81704,0.46969,0.77612,0.80287,0.81166,0.50024,0.93157,0.9944,0.8532,1.23013,0,0.000647449,0.000647449,0.000647449
